source,target,relation,label,type
fun,dress,catching,NO CHANGE,Explicit
fun,dress,catching,NO CHANGE,Explicit
fun,dress,catching,NO CHANGE,Explicit
fun,jumpsuit,features,NO CHANGE,Explicit
fun,jumpsuit,features,NO CHANGE,Explicit
fun,jumpsuit,features,NO CHANGE,Explicit
fun,GAP,made,NO CHANGE,Explicit
fun,skirt,creates,NO CHANGE,Explicit
fun,skirt,creates,NO CHANGE,Explicit
fun,skirt,creates,NO CHANGE,Explicit
fun,skirt,creates,NO CHANGE,Explicit
fun,lace,features,NO CHANGE,Explicit
fun,leopard,printed,NO CHANGE,Explicit
fun,leopard,printed,NO CHANGE,Explicit
fun,blouse,introduces,NO CHANGE,Explicit
fun,trousers,makes,NO CHANGE,Explicit
fun,linen,cut,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,wrap,features,NO CHANGE,Explicit
dress,sun,gather,NO CHANGE,Explicit
dress,jacquard,has,NO CHANGE,Explicit
dress,jacquard,has,NO CHANGE,Explicit
dress,fabric,made,NO CHANGE,Explicit
dress,fabric,made,NO CHANGE,Explicit
dress,fabric,made,NO CHANGE,Explicit
dress,Ane,makes,NO CHANGE,Explicit
dress,Ane,makes,NO CHANGE,Explicit
dress,Ane,makes,NO CHANGE,Explicit
dress,Ane,makes,NO CHANGE,Explicit
dress,Ane,makes,NO CHANGE,Explicit
dress,Ane,makes,NO CHANGE,Explicit
dress,satin,made,NO CHANGE,Explicit
dress,satin,made,NO CHANGE,Explicit
dress,satin,made,NO CHANGE,Explicit
dress,satin,made,NO CHANGE,Explicit
dress,satin,made,NO CHANGE,Explicit
dress,viscose,fitted,NO CHANGE,Explicit
dress,viscose,fitted,NO CHANGE,Explicit
dress,viscose,fitted,NO CHANGE,Explicit
dress,viscose,fitted,NO CHANGE,Explicit
dress,viscose,fitted,NO CHANGE,Explicit
dress,viscose,fitted,NO CHANGE,Explicit
dress,viscose,fitted,NO CHANGE,Explicit
dress,viscose,fitted,NO CHANGE,Explicit
dress,viscose,fitted,NO CHANGE,Explicit
dress,viscose,fitted,NO CHANGE,Explicit
dress,viscose,fitted,NO CHANGE,Explicit
dress,viscose,fitted,NO CHANGE,Explicit
dress,viscose,fitted,NO CHANGE,Explicit
dress,viscose,fitted,NO CHANGE,Explicit
dress,viscose,fitted,NO CHANGE,Explicit
dress,sleeves,has,NO CHANGE,Explicit
dress,sleeves,has,NO CHANGE,Explicit
dress,sleeves,has,NO CHANGE,Explicit
dress,sleeves,has,NO CHANGE,Explicit
dress,sleeves,has,NO CHANGE,Explicit
dress,Peony,features,NO CHANGE,Explicit
dress,ruffles,create,NO CHANGE,Explicit
dress,ruffles,create,NO CHANGE,Explicit
dress,sleeve,ruffled,NO CHANGE,Explicit
dress,sleeve,ruffled,NO CHANGE,Explicit
dress,Nila,has,NO CHANGE,Explicit
dress,Nila,has,NO CHANGE,Explicit
dress,color,makes,NO CHANGE,Explicit
dress,color,makes,NO CHANGE,Explicit
dress,color,makes,NO CHANGE,Explicit
dress,color,makes,NO CHANGE,Explicit
dress,lace,made,NO CHANGE,Explicit
dress,lace,made,NO CHANGE,Explicit
dress,lace,made,NO CHANGE,Explicit
dress,lace,made,NO CHANGE,Explicit
dress,lace,made,NO CHANGE,Explicit
dress,lace,made,NO CHANGE,Explicit
dress,lace,made,NO CHANGE,Explicit
dress,lace,made,NO CHANGE,Explicit
dress,lace,made,NO CHANGE,Explicit
dress,lace,made,NO CHANGE,Explicit
dress,lace,made,NO CHANGE,Explicit
dress,lace,made,NO CHANGE,Explicit
dress,lace,made,NO CHANGE,Explicit
dress,lace,made,NO CHANGE,Explicit
dress,lace,made,NO CHANGE,Explicit
dress,lace,made,NO CHANGE,Explicit
dress,lace,made,NO CHANGE,Explicit
dress,silk,creates,NO CHANGE,Explicit
dress,silk,creates,NO CHANGE,Explicit
dress,silk,creates,NO CHANGE,Explicit
dress,silk,creates,NO CHANGE,Explicit
dress,Work,wrap,NO CHANGE,Explicit
dress,Work,wrap,NO CHANGE,Explicit
dress,brocade,features,NO CHANGE,Explicit
dress,Pauline,lined,NO CHANGE,Explicit
dress,Micro,dropped,NO CHANGE,Explicit
dress,Micro,dropped,NO CHANGE,Explicit
dress,Micro,dropped,NO CHANGE,Explicit
dress,Micro,dropped,NO CHANGE,Explicit
dress,Micro,dropped,NO CHANGE,Explicit
dress,Micro,dropped,NO CHANGE,Explicit
dress,Micro,dropped,NO CHANGE,Explicit
dress,Micro,dropped,NO CHANGE,Explicit
dress,Micro,dropped,NO CHANGE,Explicit
dress,Micro,dropped,NO CHANGE,Explicit
